Aarav Sharma,qrc:/images/user.png,10:15 AM,how are you?
Priya Verma,qrc:/images/user.png,09:30 AM,Meeting at 5 PM?
Rohan Mehta,qrc:/images/user.png,Yesterday,I'll be there
Ishita Singh,qrc:/images/user.png,11:45 AM,Did you complete it?
Arjun Nair,qrc:/images/user.png,Yesterday,Call me when free
Neha Patel,qrc:/images/user.png,08:10 AM,Good morning!
Karan Malhotra,qrc:/images/user.png,Yesterday,Let's catch up soon
Ananya Iyer,qrc:/images/user.png,07:55 AM,Okay noted
Siddharth Rao,qrc:/images/user.png,Yesterday,Happy Birthday!
Meera Kapoor,qrc:/images/user.png,09:00 PM,See you tomorrow
